TABLE NO.  1
 DV          PRED        RES         WRES
  3.2520E+00  3.5851E+00 -3.3311E-01 -1.3740E-01
  1.5217E+02  9.2646E+01  5.9524E+01  1.2395E+00
  6.7020E+00  1.1018E+01 -4.3162E+00 -1.5477E+00
  6.4183E+00  6.5988E+00 -1.8050E-01 -3.6983E-01
  4.8797E+00  4.6230E+00  2.5670E-01  2.6117E-01
  3.5357E+00  3.9865E+00 -4.5075E-01 -3.1321E-01
  3.5021E+00  3.8081E+00 -3.0604E-01 -7.6941E-02
  3.0863E+00  3.5852E+00 -4.9886E-01 -3.7466E-01
  3.2397E+00  3.5852E+00 -3.4550E-01 -1.5513E-01
  2.4178E+00  2.5310E+00 -1.1323E-01  5.3712E-02
  1.9364E+00  1.7869E+00  1.4951E-01  5.8347E-01
  1.1281E+00  1.2615E+00 -1.3343E-01 -3.0041E-01
  7.2916E+01  9.9698E+01 -2.6782E+01 -7.6411E-01
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  4.2552E+00  5.3987E+00 -1.1435E+00 -8.0866E-01
  2.9994E+00  2.7900E+00  2.0936E-01  2.4087E-01
  1.3682E+00  1.1450E+00  2.2320E-01  6.8934E-01
  6.1904E-01  4.7013E-01  1.4891E-01  1.7543E+00
  2.1809E-01  3.1921E-01 -1.0112E-01 -1.1480E+00
  2.3655E-01  2.6887E-01 -3.2320E-02  8.0159E-02
  1.4560E+00  1.6310E+00 -1.7498E-01 -5.6967E-02
  7.5632E+01  9.7882E+01 -2.2250E+01  6.2231E-02
  1.9570E+00  1.8097E+00  1.4734E-01  8.6154E-01
  7.1604E+01  9.7508E+01 -2.5904E+01 -6.0003E-01
  2.0539E+00  1.8293E+00  2.2464E-01  1.0589E+00
  1.7422E+00  1.8313E+00 -8.9108E-02  1.8910E-01
  6.9966E+01  9.7461E+01 -2.7495E+01 -8.8963E-01
  7.4569E+00  7.2053E+00  2.5164E-01  4.9104E-01
  3.6779E+00  4.5608E+00 -8.8288E-01 -1.0018E+00
  2.2954E+00  2.8810E+00 -5.8558E-01 -9.2040E-01
  1.8051E+00  2.1610E+00 -3.5588E-01 -4.9080E-01
  1.4111E+00  1.9661E+00 -5.5504E-01 -1.0137E+00
  1.5245E+00  1.8314E+00 -3.0686E-01 -4.1266E-01
  1.6785E+00  1.8314E+00 -1.5291E-01  1.2743E-02
  1.1748E+00  1.3344E+00 -1.5956E-01 -1.9993E-01
  8.6457E-01  9.7306E-01 -1.0849E-01 -1.9669E-01
  7.5573E-01  7.0959E-01  4.6141E-02  5.2560E-01
  1.1308E+02  9.9698E+01  1.3382E+01 -3.6138E-01
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  5.3925E+00  7.3298E+00 -1.9373E+00 -1.1401E+00
  2.8025E+00  2.9259E+00 -1.2343E-01 -7.1239E-01
  1.1142E+00  1.1180E+00 -3.8314E-03 -6.6797E-01
  9.0018E-01  6.3567E-01  2.6451E-01  1.5449E+00
  6.8799E-01  5.6323E-01  1.2476E-01  4.9892E-01
  5.6381E-01  5.2146E-01  4.2351E-02 -2.3007E-01
  3.1596E+00  2.7315E+00  4.2808E-01  6.2749E-01
  1.1181E+02  9.5196E+01  1.6614E+01  1.5167E-01
  3.3852E+00  2.9049E+00  4.8034E-01  6.7480E-01
  3.9272E+00  2.9159E+00  1.0113E+00  1.6008E+00
  1.1839E+02  9.4671E+01  2.3719E+01  1.4364E+00
  2.7099E+00  2.9165E+00 -2.0664E-01 -5.3208E-01
  1.1203E+02  9.4669E+01  1.7361E+01  2.6937E-01
  8.2617E+00  1.0199E+01 -1.9371E+00 -7.7574E-01
  5.7353E+00  5.7252E+00  1.0144E-02 -2.5642E-01
  3.9403E+00  3.8492E+00  9.1117E-02 -1.4586E-01
  4.1980E+00  3.2786E+00  9.1937E-01  1.2758E+00
  2.8592E+00  3.1208E+00 -2.6164E-01 -5.9272E-01
  3.3353E+00  2.9166E+00  4.1875E-01  5.6269E-01
  3.1405E+00  2.9166E+00  2.2394E-01  2.2167E-01
  2.4785E+00  1.9669E+00  5.1156E-01  1.0351E+00
  1.4635E+00  1.3265E+00  1.3696E-01  2.5392E-01
  7.7854E-01  8.9464E-01 -1.1610E-01 -6.7716E-01
  7.1643E+01  9.9698E+01 -2.8055E+01 -1.4737E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  4.4561E+00  5.8577E+00 -1.4016E+00  6.4491E-02
  3.2309E+00  2.9880E+00  2.4292E-01 -5.2048E-01
  2.2494E+00  1.2334E+00  1.0160E+00  2.5177E+00
  7.5747E-01  5.3626E-01  2.2121E-01  1.5642E+00
  4.6304E-01  3.8576E-01  7.7280E-02  1.6910E+00
  2.0533E-01  3.3481E-01 -1.2948E-01 -9.0739E-01
  1.5491E+00  2.0775E+00 -5.2841E-01  5.9313E-02
  7.2816E+01  9.6898E+01 -2.4082E+01 -8.6439E-01
  9.9017E-01  2.3220E+00 -1.3318E+00 -1.5412E+00
  8.0968E+01  9.6294E+01 -1.5326E+01  7.1905E-01
  2.1609E+00  2.3507E+00 -1.8983E-01  9.8671E-01
  1.5359E+00  2.3540E+00 -8.1806E-01 -3.7110E-01
  7.5425E+01  9.6212E+01 -2.0787E+01 -2.8626E-01
  5.7614E+00  8.1812E+00 -2.4198E+00 -3.6430E-01
  5.8960E+00  5.2671E+00  6.2895E-01  7.9478E-01
  3.0253E+00  3.4693E+00 -4.4397E-01 -2.5195E-01
  1.7406E+00  2.7158E+00 -9.7523E-01 -7.5384E-01
  1.7864E+00  2.5105E+00 -7.2411E-01 -1.4482E-01
  1.1568E+00  2.3540E+00 -1.1972E+00 -1.1911E+00
  1.5936E+00  2.3541E+00 -7.6052E-01 -2.4643E-01
  1.4198E+00  1.7332E+00 -3.1342E-01  5.4884E-01
  7.7369E-01  1.2768E+00 -5.0312E-01 -3.7558E-01
  8.0265E-01  9.4059E-01 -1.3794E-01  8.1360E-01
  1.1221E+02  9.9698E+01  1.2512E+01  9.3071E-01
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.3991E+00  5.3585E+00 -1.9594E+00 -1.3004E+00
  2.4187E+00  2.8672E+00 -4.4847E-01 -9.7023E-01
  9.7321E-01  1.2137E+00 -2.4052E-01 -1.0431E+00
  3.5254E-01  5.0141E-01 -1.4887E-01 -6.8770E-01
  2.0681E-01  3.3246E-01 -1.2565E-01 -4.8520E-01
  1.5203E-01  2.7473E-01 -1.2270E-01 -6.3011E-01
  1.3282E+00  1.7281E+00 -3.9985E-01  1.7766E-02
  1.5202E+00  1.9431E+00 -4.2295E-01  4.2425E-02
  1.0516E+02  9.7211E+01  7.9487E+00  7.6673E-03
  1.8818E+00  1.9700E+00 -8.8158E-02  9.1221E-01
  1.0631E+02  9.7150E+01  9.1601E+00  2.2677E-01
  1.2433E+00  1.9731E+00 -7.2983E-01 -7.3901E-01
  1.0279E+02  9.7143E+01  5.6474E+00 -4.1836E-01
  5.5857E+00  7.3061E+00 -1.7204E+00 -5.3838E-01
  4.8648E+00  4.7783E+00  8.6536E-02  4.5803E-01
  2.1983E+00  3.0894E+00 -8.9109E-01 -8.9904E-01
  1.9300E+00  2.3311E+00 -4.0106E-01  1.1549E-01
  1.6466E+00  2.1173E+00 -4.7070E-01 -1.9782E-02
  1.5568E+00  1.9732E+00 -4.1642E-01  6.6582E-02
  1.5781E+00  1.9733E+00 -3.9520E-01  1.2113E-01
  1.0210E+00  1.4639E+00 -4.4287E-01 -4.0090E-01
  9.6346E-01  1.0872E+00 -1.2374E-01  4.4684E-01
  5.8073E-01  8.0745E-01 -2.2672E-01 -3.7437E-01
  9.7823E+01  9.9698E+01 -1.8753E+00  2.8704E-01
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.4106E+00  4.4184E+00 -1.0078E+00 -6.3203E-01
  2.4431E+00  2.4478E+00 -4.7388E-03 -1.1142E+00
  1.8067E+00  1.0426E+00  7.6408E-01  1.6334E+00
  7.4477E-01  3.9246E-01  3.5231E-01  2.5302E+00
  3.5124E-01  2.2487E-01  1.2637E-01  2.0610E+00
  1.3800E-01  1.6650E-01 -2.8499E-02 -5.7797E-01
  1.1440E+00  1.0272E+00  1.1683E-01 -1.1219E-01
  8.8118E+01  9.8919E+01 -1.0801E+01 -1.3383E+00
  1.1944E+00  1.1506E+00  4.3829E-02 -8.5750E-01
  1.3881E+00  1.1654E+00  2.2266E-01 -1.6871E-01
  1.0212E+02  9.8715E+01  3.4051E+00  1.2799E+00
  1.3890E+00  1.1671E+00  2.2185E-01 -1.8749E-01
  9.2123E+01  9.8712E+01 -6.5893E+00 -5.5399E-01
  5.4209E+00  5.5693E+00 -1.4844E-01  9.5045E-02
  3.9854E+00  3.5763E+00  4.0912E-01 -3.7080E-01
  3.3632E+00  2.1496E+00  1.2136E+00  1.4734E+00
  1.7549E+00  1.4718E+00  2.8315E-01 -3.6632E-01
  1.6900E+00  1.2773E+00  4.1272E-01  4.6172E-01
  1.4976E+00  1.1672E+00  3.3041E-01  2.7751E-01
  1.3585E+00  1.1672E+00  1.9127E-01 -3.1957E-01
  1.2643E+00  8.6039E-01  4.0391E-01  6.3921E-01
  8.2964E-01  6.3593E-01  1.9371E-01 -6.8594E-01
  9.9855E-01  4.7003E-01  5.2852E-01  2.3871E+00
  7.1795E+01  9.9698E+01 -2.7903E+01 -1.1968E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  9.5173E+00  6.1835E+00  3.3338E+00  2.4230E+00
  3.9603E+00  2.9922E+00  9.6812E-01  2.0355E+00
  1.5069E+00  1.1988E+00  3.0807E-01  1.5186E+00
  5.6297E-01  5.4353E-01  1.9437E-02  1.9294E-01
  3.8242E-01  4.1481E-01 -3.2387E-02 -3.6930E-01
  3.7363E-01  3.7005E-01  3.5831E-03  1.0903E-01
  1.9281E+00  2.2168E+00 -2.8875E-01 -9.9243E-01
  7.0799E+01  9.6559E+01 -2.5760E+01 -7.2165E-01
  1.5774E+00  2.4471E+00 -8.6974E-01 -2.1646E+00
  6.9391E+01  9.5969E+01 -2.6578E+01 -8.4775E-01
  2.1915E+00  2.4711E+00 -2.7957E-01 -9.2498E-01
  7.7553E+01  9.5906E+01 -1.8353E+01  6.6544E-01
  2.2708E+00  2.4735E+00 -2.0265E-01 -7.6609E-01
  1.1586E+01  8.6234E+00  2.9626E+00  1.3581E+00
  6.1849E+00  5.3830E+00  8.0187E-01  7.9277E-01
  4.1477E+00  3.5418E+00  6.0592E-01  7.8339E-01
  2.8370E+00  2.8242E+00  1.2843E-02 -2.7408E-01
  2.3643E+00  2.6348E+00 -2.7048E-01 -8.6828E-01
  2.8809E+00  2.4735E+00  4.0739E-01  4.9053E-01
  2.7004E+00  2.4736E+00  2.2684E-01  1.1859E-01
  1.8039E+00  1.7894E+00  1.4456E-02 -3.0400E-01
  1.6178E+00  1.2949E+00  3.2287E-01  7.9035E-01
  9.9193E-01  9.3707E-01  5.4857E-02 -1.2536E-01
  1.5980E+02  9.9698E+01  6.0102E+01  1.0489E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.5589E+00  4.9404E+00 -2.3815E+00 -2.4048E+00
  2.2452E+00  3.0078E+00 -7.6258E-01 -1.7541E+00
  1.3284E+00  1.4659E+00 -1.3749E-01 -1.3682E+00
  1.0085E+00  6.8341E-01  3.2509E-01  3.5488E-01
  9.4174E-01  4.5455E-01  4.8719E-01  2.0933E+00
  1.0041E+00  3.5677E-01  6.4733E-01  5.0901E+00
  3.1000E+00  1.9849E+00  1.1151E+00  1.9184E+00
  3.4486E+00  2.1506E+00  1.2980E+00  2.5084E+00
  1.6191E+02  9.6722E+01  6.5188E+01  1.8771E+00
  2.3655E+00  2.1645E+00  2.0102E-01 -3.5023E-02
  1.5729E+02  9.6688E+01  6.0602E+01  1.0288E+00
  2.3283E+00  2.1656E+00  1.6271E-01 -1.1801E-01
  1.5890E+02  9.6685E+01  6.2215E+01  1.3240E+00
  6.0579E+00  7.0714E+00 -1.0135E+00 -6.2962E-01
  4.4150E+00  5.0901E+00 -6.7515E-01 -9.4810E-01
  4.4717E+00  3.5019E+00  9.6978E-01  1.0413E+00
  3.0653E+00  2.6599E+00  4.0541E-01  2.3666E-01
  2.6505E+00  2.3734E+00  2.7705E-01  3.0283E-02
  2.6844E+00  2.1656E+00  5.1878E-01  7.1733E-01
  2.6214E+00  2.1656E+00  4.5576E-01  5.6966E-01
  1.6213E+00  1.5153E+00  1.0604E-01  4.7830E-01
  7.6804E-01  1.0633E+00 -2.9522E-01 -3.4783E-01
  3.9313E-01  7.4609E-01 -3.5296E-01 -2.4450E-01
  1.0718E+02  9.9698E+01  7.4817E+00  8.1757E-01
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  5.6216E+00  5.7712E+00 -1.4960E-01 -1.7463E-01
  4.4802E+00  3.0754E+00  1.4048E+00  1.6758E+00
  1.6078E+00  1.3736E+00  2.3420E-01 -5.8458E-01
  1.1085E+00  6.7690E-01  4.3160E-01  1.8545E+00
  5.6152E-01  5.1628E-01  4.5241E-02 -8.7131E-01
  4.6299E-01  4.4842E-01  1.4575E-02 -1.0564E+00
  3.1029E+00  2.2185E+00  8.8438E-01  2.4286E-01
  1.0007E+02  9.6555E+01  3.5150E+00  2.8054E-01
  3.5680E+00  2.3320E+00  1.2360E+00  7.5857E-01
  3.7518E+00  2.3378E+00  1.4140E+00  1.1223E+00
  9.9155E+01  9.6254E+01  2.9014E+00  2.0896E-01
  2.7667E+00  2.3381E+00  4.2857E-01 -1.0210E+00
  9.2329E+01  9.6253E+01 -3.9239E+00 -1.0435E+00
  9.4115E+00  8.0675E+00  1.3440E+00  3.3224E-01
  7.0504E+00  5.3111E+00  1.7393E+00  5.2979E-01
  5.3424E+00  3.5507E+00  1.7917E+00  9.4290E-01
  3.0887E+00  2.7782E+00  3.1045E-01 -1.3038E+00
  4.0331E+00  2.5446E+00  1.4885E+00  1.1021E+00
  3.4954E+00  2.3381E+00  1.1573E+00  5.6272E-01
  2.9820E+00  2.3381E+00  6.4386E-01 -5.5314E-01
  2.5262E+00  1.5283E+00  9.9791E-01  8.2835E-01
  1.4216E+00  9.9958E-01  4.2202E-01 -6.2759E-01
  9.1115E-01  6.5378E-01  2.5737E-01 -9.9986E-01
  8.9962E+01  9.9698E+01 -9.7363E+00 -1.3755E-01
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  4.1024E+00  5.9863E+00 -1.8839E+00 -1.2863E+00
  3.1634E+00  3.1629E+00  5.2184E-04  5.3413E-02
  1.1102E+00  1.4178E+00 -3.0760E-01 -8.8253E-01
  4.4739E-01  7.1832E-01 -2.7093E-01 -1.2336E+00
  4.5947E-01  5.6028E-01 -1.0081E-01  3.7112E-02
  3.6542E-01  4.9192E-01 -1.2650E-01 -3.1800E-01
  1.8999E+00  2.4585E+00 -5.5858E-01 -1.8778E-01
  2.0669E+00  2.5892E+00 -5.2232E-01 -3.2729E-02
  8.1189E+01  9.5589E+01 -1.4400E+01 -1.0962E+00
  2.3433E+00  2.5962E+00 -2.5288E-01  5.0146E-01
  9.0417E+01  9.5570E+01 -5.1527E+00  6.0015E-01
  2.0274E+00  2.5965E+00 -5.6914E-01 -1.1879E-01
  8.6020E+01  9.5569E+01 -9.5487E+00 -2.0668E-01
  7.9989E+00  8.5372E+00 -5.3834E-01  1.8488E-01
  4.9491E+00  5.6474E+00 -6.9833E-01 -2.5460E-01
  2.3092E+00  3.8380E+00 -1.5288E+00 -1.4421E+00
  2.4309E+00  3.0554E+00 -6.2452E-01 -1.5215E-01
  2.9427E+00  2.8172E+00  1.2554E-01  1.2006E+00
  1.6703E+00  2.5965E+00 -9.2625E-01 -8.1937E-01
  2.2798E+00  2.5966E+00 -3.1675E-01  3.7637E-01
  1.2177E+00  1.7068E+00 -4.8907E-01 -3.1431E-01
  8.1307E-01  1.1225E+00 -3.0939E-01 -1.4870E-01
  4.5290E-01  7.3819E-01 -2.8529E-01 -5.0915E-01
  1.0554E+02  9.9698E+01  5.8417E+00  1.3241E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  6.3655E+00  6.1614E+00  2.0410E-01 -1.3137E+00
  2.3626E+00  2.8704E+00 -5.0783E-01 -1.4017E+00
  1.2793E+00  1.1154E+00  1.6386E-01 -3.3616E-01
  1.1843E+00  5.0651E-01  6.7779E-01  3.0452E+00
  9.2876E-01  3.9355E-01  5.3521E-01  1.6693E+00
  9.2557E-01  3.5324E-01  5.7233E-01  2.7089E+00
  3.7291E+00  2.0155E+00  1.7136E+00 -2.1888E-01
  4.5156E+00  2.1918E+00  2.3238E+00  7.0186E-01
  9.2236E+01  9.6621E+01 -4.3852E+00 -8.5911E-02
  3.5797E+00  2.2072E+00  1.3725E+00 -1.5600E+00
  9.0065E+01  9.6583E+01 -6.5181E+00 -4.6415E-01
  3.6932E+00  2.2085E+00  1.4847E+00 -1.3071E+00
  8.7183E+01  9.6580E+01 -9.3969E+00 -9.9104E-01
  1.2640E+01  8.3378E+00  4.3022E+00  6.8924E-01
  6.6851E+00  4.9998E+00  1.6853E+00 -3.7770E-01
  5.8092E+00  3.1990E+00  2.6102E+00  8.6301E-01
  5.4015E+00  2.5305E+00  2.8710E+00  1.4361E+00
  6.1328E+00  2.3596E+00  3.7732E+00  3.5469E+00
  4.0891E+00  2.2085E+00  1.8806E+00 -3.9672E-01
  5.4843E+00  2.2085E+00  3.2758E+00  2.8120E+00
  2.9121E+00  1.5589E+00  1.3532E+00 -7.2319E-01
  3.0577E+00  1.1007E+00  1.9570E+00  3.2116E+00
  1.2681E+00  7.7712E-01  4.9098E-01 -1.9145E+00
  9.4216E+01  9.9698E+01 -5.4823E+00  6.3971E-02
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.5610E+00  3.8472E+00 -1.2862E+00 -1.4688E+00
  2.0431E+00  2.5010E+00 -4.5790E-01 -9.9307E-01
  8.2096E-01  1.2487E+00 -4.2778E-01 -1.7917E+00
  5.4572E-01  5.1954E-01  2.6178E-02  4.1961E-01
  3.1155E-01  2.7006E-01  4.1493E-02  8.6625E-01
  1.4374E-01  1.5494E-01 -1.1201E-02 -6.0002E-01
  1.2462E+00  1.0400E+00  2.0621E-01  1.3192E+00
  9.0553E+01  9.8901E+01 -8.3483E+00 -4.7225E-01
  9.6747E-01  1.2366E+00 -2.6911E-01 -6.3063E-01
  1.1729E+00  1.2742E+00 -1.0134E-01  1.2453E-01
  9.7291E+01  9.8540E+01 -1.2487E+00  8.2555E-01
  1.1543E+00  1.2810E+00 -1.2670E-01  4.1247E-02
  8.7432E+01  9.8528E+01 -1.1096E+01 -9.8196E-01
  4.5758E+00  5.1100E+00 -5.3419E-01 -1.7961E-01
  3.2307E+00  3.7410E+00 -5.1034E-01 -5.4831E-01
  2.0908E+00  2.4687E+00 -3.7794E-01 -5.2211E-01
  1.5185E+00  1.7148E+00 -1.9630E-01 -1.4476E-01
  1.6507E+00  1.4417E+00  2.0900E-01  1.2411E+00
  1.0944E+00  1.2812E+00 -1.8684E-01 -1.9379E-01
  1.4964E+00  1.2815E+00  2.1495E-01  1.3814E+00
  5.8108E-01  1.0012E+00 -4.2016E-01 -1.3884E+00
  6.8453E-01  7.9068E-01 -1.0615E-01  1.6043E-01
  5.5807E-01  6.2441E-01 -6.6340E-02  4.4233E-01
  9.8042E+01  9.9698E+01 -1.6563E+00  1.0231E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  9.2941E+00  1.2446E+01 -3.1517E+00 -1.1362E+00
  7.3469E+00  5.5386E+00  1.8083E+00  6.9230E-01
  2.4532E+00  2.0883E+00  3.6491E-01 -6.2984E-01
  9.3946E-01  9.6703E-01 -2.7574E-02 -1.2715E+00
  1.2650E+00  7.7278E-01  4.9222E-01  2.5956E+00
  8.5128E-01  6.9907E-01  1.5221E-01  4.5085E-01
  3.7330E+00  3.7987E+00 -6.5713E-02 -1.1861E+00
  7.9413E+01  9.1970E+01 -1.2557E+01 -6.0507E-01
  3.8307E+00  4.0762E+00 -2.4554E-01 -1.5796E+00
  5.7030E+00  4.0965E+00  1.6065E+00  6.9070E-01
  7.8417E+01  9.1012E+01 -1.2595E+01 -4.8161E-01
  5.2624E+00  4.0979E+00  1.1645E+00  1.4013E-01
  7.7278E+01  9.1007E+01 -1.3729E+01 -6.8836E-01
  1.6535E+01  1.6480E+01  5.4979E-02 -1.3919E-01
  1.1209E+01  9.4795E+00  1.7295E+00 -1.6968E-01
  7.7746E+00  5.9382E+00  1.8364E+00  1.9896E-01
  5.2635E+00  4.6989E+00  5.6465E-01 -6.7966E-01
  6.1148E+00  4.3902E+00  1.7246E+00  7.5189E-01
  5.6134E+00  4.0980E+00  1.5154E+00  5.7413E-01
  6.8581E+00  4.0980E+00  2.7601E+00  2.1135E+00
  3.3132E+00  2.8196E+00  4.9363E-01 -7.9231E-01
  3.0482E+00  1.9403E+00  1.1079E+00  6.9740E-01
  1.8022E+00  1.3352E+00  4.6703E-01 -5.4300E-01
  1.1496E+02  9.9698E+01  1.5262E+01  4.2959E-01
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.1310E+01  9.7877E+00  1.5223E+00  7.5064E-01
  4.1988E+00  5.1304E+00 -9.3160E-01 -1.2147E+00
  2.3553E+00  2.0967E+00  2.5857E-01  3.5230E-01
  6.5705E-01  8.1024E-01 -1.5319E-01 -1.0448E+00
  5.5250E-01  5.1166E-01  4.0835E-02  8.4155E-01
  2.6982E-01  4.1313E-01 -1.4331E-01 -1.1226E+00
  2.0952E+00  2.4698E+00 -3.7456E-01 -1.3283E+00
  1.0826E+02  9.5910E+01  1.2350E+01 -6.8143E-02
  2.6165E+00  2.7294E+00 -1.1286E-01 -1.0163E+00
  1.1074E+02  9.5202E+01  1.5538E+01  5.3740E-01
  3.5900E+00  2.7567E+00  8.3331E-01  6.6446E-01
  1.0957E+02  9.5125E+01  1.4445E+01  3.4052E-01
  2.7786E+00  2.7594E+00  1.9164E-02 -8.2799E-01
  9.6114E+00  1.2508E+01 -2.8971E+00 -1.4162E+00
  7.9600E+00  7.7959E+00  1.6413E-01 -2.5641E-01
  5.6633E+00  4.7088E+00  9.5450E-01  4.6676E-01
  4.5856E+00  3.3531E+00  1.2325E+00  1.1285E+00
  4.7790E+00  2.9872E+00  1.7918E+00  2.2359E+00
  4.0058E+00  2.7595E+00  1.2463E+00  1.4065E+00
  3.3990E+00  2.7596E+00  6.3944E-01  3.0110E-01
  2.8219E+00  1.9979E+00  8.2396E-01  6.9084E-01
  2.0996E+00  1.4485E+00  6.5112E-01  3.2856E-01
  1.5919E+00  1.0501E+00  5.4177E-01  9.1075E-02
  9.7021E+01  9.9698E+01 -2.6773E+00  1.2512E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.5251E+01  1.2732E+01  2.5193E+00  5.2434E-01
  7.8015E+00  5.9391E+00  1.8624E+00  8.8630E-01
  3.6396E+00  2.3345E+00  1.3051E+00  1.6558E+00
  1.0274E+00  1.0907E+00 -6.3324E-02 -8.6422E-01
  8.9662E-01  8.6095E-01  3.5673E-02  3.9519E-01
  6.5145E-01  7.7742E-01 -1.2597E-01 -5.8526E-01
  6.0187E+00  4.5251E+00  1.4936E+00 -5.3459E-01
  6.7407E+01  8.9612E+01 -2.2205E+01 -1.2935E+00
  8.4352E+00  4.9495E+00  3.4857E+00  8.1446E-01
  7.1946E+01  8.8218E+01 -1.6272E+01  1.0499E-01
  7.3082E+00  4.9893E+00  2.3189E+00 -5.0982E-01
  6.4463E+01  8.8087E+01 -2.3624E+01 -1.1962E+00
  8.4993E+00  4.9929E+00  3.5064E+00  6.8700E-01
  2.4452E+01  1.7654E+01  6.7978E+00  8.7614E-01
  1.6403E+01  1.0758E+01  5.6446E+00  1.1205E+00
  1.0304E+01  7.0529E+00  3.2511E+00  2.8406E-02
  7.8619E+00  5.6781E+00  2.1838E+00 -6.9815E-01
  7.6370E+00  5.3209E+00  2.3161E+00 -5.2357E-01
  6.4259E+00  4.9930E+00  1.4329E+00 -1.4291E+00
  7.2956E+00  4.9931E+00  2.3025E+00 -5.4218E-01
  6.9276E+00  3.5601E+00  3.3675E+00  8.6718E-01
  5.7100E+00  2.5389E+00  3.1711E+00  1.2142E+00
  4.0779E+00  1.8106E+00  2.2673E+00  1.7665E-01
  1.0835E+02  9.9698E+01  8.6517E+00  9.4204E-01
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.3249E+01  1.0545E+01  2.7036E+00  5.2431E-01
  7.0331E+00  5.8029E+00  1.2302E+00  1.1756E+00
  2.2752E+00  2.5162E+00 -2.4104E-01 -4.2047E-01
  1.1169E+00  1.0412E+00  7.5679E-02  9.9800E-02
  6.5904E-01  6.7371E-01 -1.4667E-02 -5.9742E-01
  6.2665E-01  5.4483E-01  8.1815E-02  2.8210E-01
  4.5192E+00  3.5146E+00  1.0046E+00 -7.3978E-02
  9.3518E+01  9.2866E+01  6.5157E-01 -7.0943E-02
  4.7500E+00  3.9932E+00  7.5683E-01 -8.7722E-01
  6.4279E+00  4.0584E+00  2.3695E+00  1.0559E+00
  9.1918E+01  9.1135E+01  7.8302E-01  1.4667E-01
  5.6447E+00  4.0669E+00  1.5778E+00  4.5318E-02
  8.6693E+01  9.1108E+01 -4.4147E+00 -8.0161E-01
  1.8378E+01  1.4561E+01  3.8167E+00  3.3433E-01
  1.0385E+01  9.7462E+00  6.3881E-01 -4.2681E-01
  8.2148E+00  6.3894E+00  1.8254E+00  3.2832E-01
  5.7958E+00  4.8233E+00  9.7246E-01 -6.3213E-01
  6.1020E+00  4.3671E+00  1.7349E+00  1.9316E-01
  7.3360E+00  4.0671E+00  3.2689E+00  2.1554E+00
  4.7038E+00  4.0673E+00  6.3646E-01 -1.1308E+00
  4.4732E+00  3.0554E+00  1.4178E+00  9.8286E-03
  3.3523E+00  2.2986E+00  1.0537E+00 -4.2755E-01
  3.2769E+00  1.7293E+00  1.5476E+00  1.1082E+00
  1.0454E+02  9.9698E+01  4.8417E+00 -1.0345E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.1689E+01  1.3482E+01 -1.7932E+00 -7.1279E-01
  3.6039E+00  5.6945E+00 -2.0906E+00 -9.9856E-01
  1.6494E+00  2.1438E+00 -4.9437E-01  2.4633E-01
  1.0633E+00  1.0919E+00 -2.8584E-02  7.9980E-01
  8.7713E-01  9.2349E-01 -4.6358E-02  3.1834E-01
  7.4260E-01  8.4745E-01 -1.0485E-01 -9.0518E-02
  3.8386E+00  4.5125E+00 -6.7392E-01  5.5308E-01
  3.3579E+00  4.8176E+00 -1.4597E+00 -6.3566E-02
  1.1314E+02  8.8651E+01  2.4489E+01  1.8108E+00
  4.3836E+00  4.8382E+00 -4.5460E-01  1.0230E+00
  1.0138E+02  8.8583E+01  1.2797E+01 -3.5105E-01
  3.4006E+00  4.8395E+00 -1.4389E+00 -9.4491E-03
  1.0708E+02  8.8579E+01  1.8501E+01  6.9440E-01
  1.8721E+01  1.8245E+01  4.7640E-01  5.7998E-01
  6.4464E+00  1.0344E+01 -3.8972E+00 -8.2083E-01
  4.3488E+00  6.6823E+00 -2.3335E+00 -3.1961E-01
  3.0755E+00  5.4872E+00 -2.4117E+00 -7.9558E-01
  3.2823E+00  5.1801E+00 -1.8978E+00 -4.1886E-01
  3.2901E+00  4.8396E+00 -1.5495E+00 -1.2555E-01
  3.5614E+00  4.8396E+00 -1.2782E+00  1.5961E-01
  2.9115E+00  3.2933E+00 -3.8184E-01  1.2177E+00
  1.1634E+00  2.2413E+00 -1.0779E+00 -1.7883E-01
