TABLE NO.  1
 DV          PRED        RES         WRES
  2.7105E+00  1.2101E+01 -9.3901E+00 -6.1627E-01
  4.4741E+00  1.4850E+01 -1.0375E+01 -1.7306E+00
  5.6695E+00  1.3992E+01 -8.3223E+00 -2.3121E+00
  7.9812E+00  1.1990E+01 -4.0093E+00 -1.6844E+00
  6.2436E+00  7.9363E+00 -1.6927E+00 -1.9547E+00
  5.4375E+00  5.0788E+00  3.5868E-01 -7.4451E-01
  5.6454E+00  3.3101E+00  2.3353E+00  2.6363E+00
  4.3402E+00  2.2560E+00  2.0842E+00  3.8860E+00
  1.0855E+00  7.8758E-01  2.9792E-01  1.4517E+00
  6.8617E-01  6.7465E-01  1.1518E-02 -2.9755E-01
  7.6336E-01  6.1863E-01  1.4473E-01  9.0808E-01
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  4.8728E+00  7.7253E+00 -2.8525E+00  8.2292E-01
  4.0611E+00  1.1952E+01 -7.8908E+00 -1.2082E+00
  8.6825E+00  1.4549E+01 -5.8662E+00 -9.3187E-01
  1.0869E+01  1.3584E+01 -2.7150E+00 -5.9692E-01
  1.0607E+01  1.1526E+01 -9.1852E-01 -5.2731E-01
  7.5263E+00  7.4646E+00  6.1672E-02 -8.2162E-01
  6.4786E+00  4.6707E+00  1.8079E+00  8.5398E-01
  4.1422E+00  2.9808E+00  1.1614E+00  7.4934E-01
  3.2502E+00  1.9971E+00  1.2531E+00  2.0953E+00
  7.9417E-01  6.9286E-01  1.0131E-01  8.4862E-01
  5.0418E-01  5.9631E-01 -9.2132E-02 -5.6763E-01
  4.5292E-01  5.4449E-01 -9.1574E-02 -7.0297E-01
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.9989E+01  2.4338E+01  1.5651E+01  1.8737E+00
  4.1154E+01  3.6443E+01  4.7113E+00 -3.2066E-01
  4.8797E+01  4.1318E+01  7.4786E+00  1.9887E-01
  3.8445E+01  3.5703E+01  2.7419E+00 -2.4466E-01
  3.6598E+01  2.7909E+01  8.6894E+00  1.0663E+00
  2.1602E+01  1.5308E+01  6.2939E+00  1.1647E+00
  1.5907E+01  8.3046E+00  7.6024E+00  3.0172E+00
  6.6492E+00  4.8834E+00  1.7658E+00 -6.2336E-01
  5.6245E+00  3.2845E+00  2.3400E+00  8.2541E-01
  2.6280E+00  1.8443E+00  7.8374E-01 -3.8811E-01
  2.7887E+00  1.6867E+00  1.1020E+00  5.9410E-01
  2.2634E+00  1.5511E+00  7.1228E-01 -6.4968E-01
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.7136E+01  1.5746E+01  1.1390E+01  3.9278E-01
